PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TO,SF,ANDONE,SCORE,
Cole Aldrich,LAC,60,2,0.50%,1,2,1,2,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Salah Mejri,DAL,34,2,1.20%,1,2,1,2,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Josh Smith,LAC,32,2,0.80%,1,2,1,2,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Andrea Bargnani,BKN,46,2,0.90%,1,2,1,1,100,100,0.00%,50.00%,0.00%,0.00%,50.00%,
Jonas Valanciunas,TOR,60,2,0.30%,1,2,1,2,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Nate Robinson,NOP,2,2,18.20%,1,2,1,2,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Robert Sacre,LAL,25,2,1.40%,1,2,0,1,0,0,50.00%,0.00%,50.00%,0.00%,50.00%,
Tarik Black,LAL,39,3,1.40%,0.67,2,1,3,33.3,33.3,0.00%,0.00%,0.00%,0.00%,33.30%,
Greg Monroe,MIL,79,3,0.40%,0.67,2,1,3,33.3,33.3,0.00%,0.00%,0.00%,0.00%,33.30%,
Nick Collison,OKC,59,3,1.00%,0.67,2,1,3,33.3,33.3,0.00%,0.00%,0.00%,0.00%,33.30%,
Kendrick Perkins,NOP,38,4,1.60%,0.5,2,1,4,25,25,0.00%,0.00%,0.00%,0.00%,25.00%,
Clint Capela,HOU,77,5,0.80%,0.4,2,1,3,33.3,33.3,0.00%,40.00%,0.00%,0.00%,20.00%,
Darrun Hilliard,DET,38,6,5.80%,0.33,2,1,4,25,25,0.00%,33.30%,0.00%,0.00%,16.70%,
Andre Miller,MIN,26,7,5.60%,0.57,4,1,4,25,37.5,14.30%,28.60%,14.30%,0.00%,28.60%,
Lamar Patterson,ATL,35,7,5.60%,0.29,2,0,5,0,0,14.30%,14.30%,14.30%,0.00%,14.30%,
Rudy Gobert,UTA,61,8,0.90%,0.25,2,1,7,14.3,14.3,0.00%,12.50%,0.00%,0.00%,12.50%,
Nerlens Noel,PHI,67,8,0.90%,0.25,2,0,5,0,0,12.50%,25.00%,0.00%,0.00%,12.50%,
Kris Humphries,WAS,28,1,0.60%,3,3,1,1,100,150,0.00%,0.00%,0.00%,0.00%,100.00%,
Henry Sims,BKN,14,1,1.10%,3,3,1,1,100,150,0.00%,0.00%,0.00%,0.00%,100.00%,
Carl Landry,PHI,36,2,0.80%,1.5,3,1,2,50,75,0.00%,0.00%,0.00%,0.00%,50.00%,
Miles Plumlee,MIL,61,2,0.60%,1.5,3,1,2,50,75,0.00%,0.00%,0.00%,0.00%,50.00%,
Alexis Ajinca,NOP,59,2,0.50%,1.5,3,1,2,50,75,0.00%,0.00%,0.00%,0.00%,50.00%,
Donatas Motiejunas,HOU,37,3,1.30%,1,3,1,3,33.3,50,0.00%,0.00%,0.00%,0.00%,33.30%,
Jahil Okafor,PHI,53,3,0.40%,1,3,1,2,50,50,33.30%,0.00%,33.30%,0.00%,66.70%,
Tim Duncan,SAS,61,3,0.50%,1,3,1,3,33.3,33.3,33.30%,0.00%,33.30%,33.30%,33.30%,
Channing Frye,ORL,44,2,0.80%,2.5,5,2,2,100,125,0.00%,0.00%,0.00%,0.00%,100.00%,
Al Jefferson,CHA,47,4,0.80%,0.75,3,1,4,25,25,25.00%,0.00%,25.00%,25.00%,25.00%,
Michael Beasley,HOU,20,4,3.40%,0.75,3,1,2,50,75,0.00%,50.00%,0.00%,0.00%,25.00%,
Kendall Marshall,PHI,30,4,2.80%,0.75,3,1,3,33.3,50,0.00%,25.00%,0.00%,0.00%,25.00%,
Jared Sullinger,BOS,81,5,0.60%,0.6,3,1,4,25,37.5,0.00%,20.00%,0.00%,0.00%,20.00%,
Dwight Howard,HOU,71,8,0.90%,0.38,3,0,6,0,0,25.00%,0.00%,25.00%,0.00%,25.00%,
Karl-Anthony Towns,MIN,82,3,0.30%,1.33,4,1,2,50,75,33.30%,0.00%,33.30%,0.00%,66.70%,
Jodie Meeks,DET,3,4,22.20%,1,4,2,4,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Kyle O'Quinn,NYK,65,4,1.00%,1,4,2,4,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Nikola Vucevic,ORL,65,5,0.60%,0.8,4,2,5,40,40,0.00%,0.00%,0.00%,0.00%,40.00%,
Troy Daniels,CHA,43,5,3.50%,0.8,4,2,3,66.7,66.7,20.00%,20.00%,40.00%,20.00%,40.00%,
Briante Weber,MEM,6,5,7.90%,0.8,4,2,5,40,40,0.00%,0.00%,0.00%,0.00%,40.00%,
Enes Kanter,OKC,82,5,0.70%,0.8,4,1,4,25,37.5,20.00%,0.00%,20.00%,0.00%,40.00%,
Jordan Farmar,MEM,12,6,5.40%,0.67,4,1,4,25,37.5,16.70%,16.70%,16.70%,0.00%,33.30%,
Quincy Acy,SAC,59,7,2.30%,0.57,4,1,4,25,25,14.30%,28.60%,14.30%,0.00%,28.60%,
